Length_mm,Width_mm,Thickness_um,Voltage_V,Force_N
20,10,50,5000,0.814613190496573
20,10,50,7000,0.817354447074807
20,10,50,9000,0.82121601148877
20,10,100,5000,6.49773117952385
20,10,100,7000,6.50031765240894
20,10,100,9000,6.50378708653612
20,10,150,5000,21.9234721909949
20,10,150,7000,21.9260443676161
20,10,150,9000,21.9294799785869
20,10,200,5000,51.9630816224436
20,10,200,7000,51.9656503492337
20,10,200,9000,51.9690778571058
20,15,50,5000,1.22191964853874
20,15,50,7000,1.22603153250692
20,15,50,9000,1.23182387796788
20,15,100,5000,9.74659677103555
20,15,100,7000,9.75047648040216
20,15,100,9000,9.75568063163197
20,15,150,5000,32.8852082864547
20,15,150,7000,32.8890665513859
20,15,150,9000,32.8942199678424
20,15,200,5000,77.9657197110302
20,15,200,7000,77.9522355700445
20,15,200,9000,77.9579055560142
20,20,50,5000,1.62922616086159
20,20,50,7000,1.6347086716531
20,20,50,9000,1.64243179725033
20,20,100,5000,12.995462359663
20,20,100,7000,13.0006353054512
20,20,100,9000,13.0075741737253
20,20,150,5000,43.8469443819624
20,20,150,7000,43.8520887352031
20,20,150,9000,43.8589599571435
20,20,200,5000,0
20,20,200,7000,0
20,20,200,9000,0
30,10,50,5000,0.203395308565427
30,10,50,7000,0.209022523873815
30,10,50,9000,0.234900982027078
30,10,100,5000,1.59962017017214
30,10,100,7000,1.60298914867355
30,10,100,9000,1.60765244988705
30,10,150,5000,5.39060043934628
30,10,150,7000,5.39386039072291
30,10,150,9000,5.39825186903075
30,10,200,5000,12.7730983371464
30,10,200,7000,12.7763331669144
30,10,200,9000,12.7806646755409
30,15,50,5000,0.305093000402672
30,15,50,7000,0.313533818490616
30,15,50,9000,0.352351481766068
30,15,100,5000,2.39943025657838
30,15,100,7000,2.40448372439866
30,15,100,9000,2.41147867631772
30,15,150,5000,8.08590065519802
30,15,150,7000,8.09079058221796
30,15,150,9000,8.09737779961864
30,15,200,5000,19.1596474969621
30,15,200,7000,19.1644997416591
30,15,200,9000,19.1709970046777
30,20,50,5000,0.406790614648163
30,20,50,7000,0.41804504059573
30,20,50,9000,0.46980190742759
30,20,100,5000,3.1992403421218
30,20,100,7000,3.20597829921617
30,20,100,9000,3.2153049017756
30,20,150,5000,10.7812008735604
30,20,150,7000,10.7877207762439
30,20,150,9000,10.796503732765
30,20,200,5000,25.5461966711943
30,20,200,7000,25.5526663307459
30,20,200,9000,25.5613293480192
40,10,50,5000,0.0946875327520686
40,10,50,7000,0.103685146585024
40,10,50,9000,0.106955449216085
40,10,100,5000,0.6412505894876
40,10,100,7000,0.646304034478357
40,10,100,9000,0.654346862846727
40,10,150,5000,2.15294111468357
40,10,150,7000,2.15739335446086
40,10,150,9000,2.16355479425925
40,10,200,5000,5.09706508248451
40,10,200,7000,5.10139868981739
40,10,200,9000,5.10726260501647
40,15,50,5000,0.14203130246221
40,15,50,7000,0.155527721531884
40,15,50,9000,0.160433174956283
40,15,100,5000,0.961875874840939
40,15,100,7000,0.969456041903068
40,15,100,9000,0.9815202837619
40,15,150,5000,3.22941167202511
40,15,150,7000,3.23609003169107
40,15,150,9000,3.24533219138862
40,15,200,5000,7.64559762369806
40,15,200,7000,7.65209803469739
40,15,200,9000,7.66089390749666
40,20,50,5000,0.189375109067504
40,20,50,7000,0.207370338211199
40,20,50,9000,0.213910942817332
40,20,100,5000,1.28250116636156
40,20,100,7000,1.2926080557761
40,20,100,9000,1.30869371158418
40,20,150,5000,4.3058822273829
40,20,150,7000,4.31478670697741
40,20,150,9000,4.32710958662181
40,20,200,5000,10.1941301649307
40,20,200,7000,10.2027973795965
40,20,200,9000,10.2145252099955
50,10,50,5000,0.0528595302885587
50,10,50,7000,0.0545167594553564
50,10,50,9000,0.0552727257751695
50,10,100,5000,0.324414072577355
50,10,100,7000,0.334299577621443
50,10,100,9000,0.380655860055072
50,10,150,5000,1.07889389219772
50,10,150,7000,1.08489926264678
50,10,150,9000,1.09387057752823
50,10,200,5000,2.54936254976314
50,10,200,7000,2.55493756293673
50,10,200,9000,2.56267181973725
50,15,50,5000,0.0792893211113956
50,15,50,7000,0.0817751729672482
50,15,50,9000,0.0829091244222182
50,15,100,5000,0.486621113109943
50,15,100,7000,0.501449375167058
50,15,100,9000,0.570983814397463
50,15,150,5000,1.61834083865445
50,15,150,7000,1.62734889442669
50,15,150,9000,1.64080586690594
50,15,200,5000,3.82404382401135
50,15,200,7000,3.83240634347336
50,15,200,9000,3.84400772825018
50,20,50,5000,0.105719093608973
50,20,50,7000,0.109033565490522
50,20,50,9000,0.110545501799187
50,20,100,5000,0.648828151031807
50,20,100,7000,0.668599168693754
50,20,100,9000,0.761311772310225
50,20,150,5000,2.15778778452992
50,20,150,7000,2.16979852542618
50,20,150,9000,2.18774115518354
50,20,200,5000,5.09872509851785
50,20,200,7000,5.10987512448266
50,20,200,9000,5.12534363753803
60,10,50,5000,0.031275196562954
60,10,50,7000,0.0318185986955228
60,10,50,9000,0.0321083604193853
60,10,100,5000,0.192407108865466
60,10,100,7000,0.227419526229273
60,10,100,9000,0.239581826328404
60,10,150,5000,0.620198520108768
60,10,150,7000,0.628825261808076
60,10,150,9000,0.646390104951
60,10,200,5000,1.45978330127117
60,10,200,7000,1.46688726736258
60,10,200,9000,1.47732365920984
60,15,50,5000,0.0469127948444801
60,15,50,7000,0.0477278980395329
60,15,50,9000,0.0481625406298722
60,15,100,5000,0.288610702886329
60,15,100,7000,0.341129294437051
60,15,100,9000,0.359372739063899
60,15,150,5000,0.930297778618383
60,15,150,7000,0.943237891074357
60,15,150,9000,0.969585155531535
60,15,200,5000,2.18967495094809
60,15,200,7000,2.20033090008033
60,15,200,9000,2.215985487844
60,20,50,5000,0.0625503804247401
60,20,50,7000,0.0636371869452085
60,20,50,9000,0.0642167114821313
60,20,100,5000,0.384814276799285
60,20,100,7000,0.454839066360913
60,20,100,9000,0.479163649138943
60,20,150,5000,1.24039704599235
60,20,150,7000,1.25765052965808
60,20,150,9000,1.29278021663807
60,20,200,5000,2.91956660129558
60,20,200,7000,2.93377453347095
60,20,200,9000,2.95464731715542
70,10,50,5000,0.0198990486502397
70,10,50,7000,0.0201341681593506
70,10,50,9000,0.0202671551192601
70,10,100,5000,0.141308891986415
70,10,100,7000,0.151262077217478
70,10,100,9000,0.155120074916309
70,10,150,5000,0.392349265622869
70,10,150,7000,0.412042910065421
70,10,150,9000,0.473964851125282
70,10,200,5000,0.916148766794877
70,10,200,7000,0.925455103292825
70,10,200,9000,0.941526020623055
70,15,50,5000,0.0298485729818241
70,15,50,7000,0.0302012522461362
70,15,50,9000,0.030400732686495
70,15,100,5000,0.211963365675314
70,15,100,7000,0.226893134814052
70,15,100,9000,0.232680128671809
70,15,150,5000,0.58852391212399
70,15,150,7000,0.618064441308809
70,15,150,9000,0.710947469663504
70,15,200,5000,1.37422315136994
70,15,200,7000,1.38818265608389
70,15,200,9000,1.41228903002817
70,20,50,5000,0.0397980973399284
70,20,50,7000,0.0402683363626229
70,20,50,9000,0.0405343102851394
70,20,100,5000,0.282617654041821
70,20,100,7000,0.302524043329359
70,20,100,9000,0.310240045139527
70,20,150,5000,0.784698542611856
70,20,150,7000,0.824085909968404
70,20,150,9000,0.947929944879579
70,20,200,5000,1.83229753451946
70,20,200,7000,1.85091020847414
70,20,200,9000,1.88305204521889
